"Product Name"," Product Code"," Expected"," Counted"
"Mama Instant Noodles 62gm",8941181000354,8,
"Dano Milk Minipack 18gm",1000000000005,142,
"Dano Milk 200gm",5760466987233,4,
"Dano Milk 400gm",5760466984164,6,
"Dano Milk 500gm",5760466984201,6,
"Dano Milk 1kg",5711953091308,3,
"Pran Hot Tomato Sauce 750gm",841165138418,2,
"Pran Hot Tomato Sauce 10gm",831730009472,50,
"Pran Love Jello",841165153619,45,
"Garden Fresh Fruit Drinks 200ml",8941152000741,24,
"Danish Lexus 65gm",8941152010566,24,
"Danish Dry Cake 350gm",8941152010290,3,
"Olympic Nice Biscuit 60gm",745114131324,26,
"Olympic Regular AA",1000000000006,46,
"Olympic Regular AAA",1000000000007,18,
"Olympic Metalic AAA",1000000000008,30,
"Bisk Klub Potata Biscuit 100gm",841165116751,6,
"Bisk Klub Champion Biscuit",846656000571,24,
"Bisk Klub Cookies Butter Biscuit 300gm",841165144525,6,
"Pran Mama Strawberry Wafer",841165162680,24,
"Goldmark Special Toast 315gm",8941165012533,37,
"Rani Chinigura Rice 1kg",8941165013035,12,
"Rin Detergent 500gm",8941102310203,4,
"Rin Detergent 1kg",8941102310180,1,
"Savlon Mini Soap 35gm",8941196243234,12,
"Radhuni Biriyani Masala 40gm",8941100511374,6,
"Sandalina Soap 125gm",8513692165404,12,
"Mangaldeep Agarbati",8901184102493,23,
"Gurudeb Aroma Agarbati",8901184110313,25,
"Teer Ata 1kg",814216221100,12,
"Teer Ata 2kg",814216221124,18,
"Teer Moyda 2kg",814336236121,6,
"Teer Chini 1kg",820466533108,12,
"Diploma Full Cream Milk Powder 1kg",9415007013396,4,
"Diploma Full Cream Milk Powder 500gm",9415007013402,6,
"Diploma Full Cream Milk Powder 200gm",9415007843542,6,
"Diploma Full Cream Milk Powder 400gm",9415007013390,3,
"Diploma Full Cream Milk Powder 100gm",9415007972662,12,
"Diploma Full Cream Milk Powder 50gm",9415007828419,12,
"Harpic Cleaning Power 400gm",8941100282120,12,
"Lizol Lemon 500ml",8941100289112,3,
"Lizol Floral 500ml",8941100289211,3,
"Trix Lemon 250ml",8941100280621,24,
"Harpic 1l",8941102833337,12,
"Harpic 500ml",8941100282212,12,
"Harpic 750ml",8901396175025,18,
"Rupchada Oil 1 L",8941052011045,12,
"Rupchada Oil 1L Pack",8941052011441,8,
"Rupchada Oil 2L",8941052011052,13,
